id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281094.168, 0.293, 0.000, 240102.33, 0.0000, 281094.168, 9, 2160921, 18446744073708344776, 279187.838, 1906.330, 0.000, 0.993, 0.865, 0
1, 281173.208, 0.293, 0.000, 240447.89, 0.0000, 281173.208, 9, 2164031, 18446744073708342072, 279187.448, 1787.184, 198.576, 0.993, 0.862, 0
2, 281119.095, 0.293, 0.000, 240752.67, 0.0000, 281119.095, 9, 2166774, 18446744073708339144, 279133.335, 1787.184, 198.576, 0.993, 0.862, 0
3, 108667.554, 0.293, 0.000, -nan, -nan, 108667.554, 0, 0, 370291, 108468.978, 0.000, 198.576, 0.998, -nan, 0
