id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
0, 281094.168, 0.293, 0.000, 240100.78, 0.0000, 281094.168, 9, 2160907, 18446744073708344790, 279186.083, 1906.330, 0.000, 0.993, 0.865
1, 281173.208, 0.293, 0.000, 240447.89, 0.0000, 281173.208, 9, 2164017, 18446744073708342086, 279185.693, 1787.184, 198.576, 0.993, 0.862
2, 281118.803, 0.293, 0.000, 240752.56, 0.0000, 281118.803, 9, 2166759, 18446744073708339158, 279131.288, 1787.184, 198.576, 0.993, 0.862
3, 108673.112, 0.293, 0.000, -nan, -nan, 108673.112, 0, 0, 370310, 108474.536, 0.000, 198.576, 0.998, -nan
