id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
38, 281104.981, 0.417, 0.000, 4104.65, 0.0405, 281104.981, 227, 931756, 18446744073709050552, 179672.361, 101234.045, 198.576, 0.639, 0.409, 0
39, 281077.704, 0.453, 0.000, 3047.03, 0.0478, 281077.704, 265, 807464, 18446744073709115144, 168127.675, 112751.453, 198.576, 0.598, 0.379, 0
40, 281071.980, 0.449, 0.000, 3056.24, 0.0485, 281071.980, 265, 809904, 18446744073709115400, 167963.091, 112910.314, 198.576, 0.598, 0.375, 0
41, 281074.789, 0.444, 0.000, 3236.44, 0.0465, 281074.789, 259, 838237, 18446744073709099704, 171659.413, 109216.800, 198.576, 0.611, 0.384, 0
42, 281232.459, 0.443, 0.000, 3108.79, 0.0529, 281232.459, 265, 823830, 18446744073709106096, 167448.411, 113585.472, 198.576, 0.595, 0.360, 0
43, 281060.340, 0.405, 0.000, 4305.75, 0.0360, 281060.340, 223, 960183, 18446744073709034464, 179349.713, 101512.051, 198.576, 0.638, 0.425, 0
44, 281097.613, 0.441, 0.000, 3135.93, 0.0460, 281097.613, 264, 827885, 18446744073709104024, 167750.432, 113148.605, 198.576, 0.597, 0.381, 0
45, 281124.977, 0.415, 0.000, 3917.45, 0.0479, 281124.977, 235, 920601, 18446744073709056480, 176554.855, 104371.546, 198.576, 0.628, 0.377, 0
46, 281085.721, 0.426, 0.000, 3504.02, 0.0410, 281085.721, 249, 872500, 18446744073709079192, 170280.313, 110606.832, 198.576, 0.606, 0.399, 0
47, 281062.767, 0.445, 0.000, 3279.11, 0.0432, 281062.767, 254, 832895, 18446744073709103104, 170892.802, 109971.389, 198.576, 0.608, 0.396, 0
48, 281128.758, 0.418, 0.000, 3798.47, 0.0409, 281128.758, 239, 907835, 18446744073709061248, 174533.162, 106397.021, 198.576, 0.621, 0.402, 0
49, 281242.923, 0.449, 0.000, 3239.47, 0.0478, 281242.923, 255, 826064, 18446744073709104984, 170238.939, 110805.408, 198.576, 0.605, 0.382, 0
50, 281201.532, 0.433, 0.000, 3277.74, 0.0462, 281201.532, 259, 848935, 18446744073709093920, 169284.099, 111718.858, 198.576, 0.602, 0.380, 0
51, 281227.317, 0.445, 0.000, 3249.64, 0.0486, 281227.317, 256, 831908, 18446744073709103160, 170620.485, 110408.256, 198.576, 0.607, 0.378, 0
52, 281067.660, 0.430, 0.000, 3382.27, 0.0437, 281067.660, 254, 859096, 18446744073709086560, 169467.948, 111401.136, 198.576, 0.603, 0.389, 0
53, 281240.232, 0.424, 0.000, 3753.76, 0.0426, 281240.232, 241, 904655, 18446744073709065488, 177384.984, 103656.672, 198.576, 0.631, 0.398, 0
54, 281111.953, 0.446, 0.000, 3120.91, 0.0601, 281111.953, 262, 817678, 18446744073709109392, 167327.905, 113585.472, 198.576, 0.595, 0.342, 0
55, 281199.057, 0.413, 0.000, 3688.08, 0.0415, 281199.057, 246, 907268, 18446744073709061648, 172260.263, 108740.218, 198.576, 0.613, 0.395, 0
56, 281179.461, 0.448, 0.000, 2932.52, 0.0485, 281179.461, 275, 806443, 18446744073709117056, 166720.254, 114260.630, 198.576, 0.593, 0.372, 0
57, 281101.769, 0.407, 0.000, 3900.13, 0.0388, 281101.769, 238, 928231, 18446744073709050400, 173751.584, 107151.610, 198.576, 0.618, 0.406, 0
58, 281201.367, 0.428, 0.000, 3693.03, 0.0503, 281201.367, 243, 897407, 18446744073709069616, 177663.840, 103338.950, 198.576, 0.632, 0.372, 0
59, 281062.709, 0.392, 0.000, 4488.71, 0.0364, 281062.709, 225, 1009959, 18446744073709009272, 183522.178, 97341.955, 198.576, 0.653, 0.419, 0
60, 281168.327, 0.459, 0.000, 2910.63, 0.0590, 281168.327, 271, 788780, 18446744073709125448, 166510.545, 114459.206, 198.576, 0.592, 0.347, 0
61, 281075.644, 0.444, 0.000, 3093.85, 0.0527, 281075.644, 266, 822963, 18446744073709108192, 168483.052, 112394.016, 198.576, 0.599, 0.361, 0
62, 281142.726, 0.447, 0.000, 3117.82, 0.0445, 281142.726, 263, 819987, 18446744073709109768, 169185.578, 111758.573, 198.576, 0.602, 0.389, 0
63, 281228.289, 0.428, 0.000, 3126.17, 0.0446, 281228.289, 269, 840940, 18446744073709096168, 165101.044, 115928.669, 198.576, 0.587, 0.379, 0
64, 281147.855, 0.440, 0.000, 3190.20, 0.0438, 281147.855, 260, 829453, 18446744073709104936, 168316.971, 112632.307, 198.576, 0.599, 0.389, 0
65, 281056.001, 0.436, 0.000, 3230.29, 0.0433, 281056.001, 261, 843105, 18446744073709097080, 169456.289, 111401.136, 198.576, 0.603, 0.390, 0
66, 281249.877, 0.428, 0.000, 3502.41, 0.0453, 281249.877, 249, 872099, 18446744073709081512, 172072.792, 108978.509, 198.576, 0.612, 0.385, 0
67, 281066.946, 0.437, 0.000, 3342.71, 0.0402, 281066.946, 256, 855734, 18446744073709089648, 172088.437, 108779.933, 198.576, 0.612, 0.405, 0
68, 281245.697, 0.452, 0.000, 3017.31, 0.0476, 281245.697, 268, 808639, 18446744073709114136, 167580.795, 113466.326, 198.576, 0.596, 0.378, 0
69, 281088.279, 0.441, 0.000, 3159.48, 0.0504, 281088.279, 264, 834102, 18446744073709102120, 169687.143, 111202.560, 198.576, 0.604, 0.368, 0
70, 281249.029, 0.425, 0.000, 3499.11, 0.0452, 281249.029, 251, 878277, 18446744073709077232, 171476.216, 109574.237, 198.576, 0.610, 0.384, 0
71, 281070.246, 0.439, 0.000, 3126.55, 0.0407, 281070.246, 266, 831661, 18446744073709101648, 167405.343, 113466.326, 198.576, 0.596, 0.398, 0
72, 281161.053, 0.422, 0.000, 3428.05, 0.0499, 281161.053, 255, 874154, 18446744073709079968, 169918.778, 111043.699, 198.576, 0.604, 0.365, 0
