id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
213, 281211.576, 1.102, 0.000, 6481.56, 0.0039, 281211.576, 79, 512025, 18446744073709275398, 259803.329, 21207.917, 198.576, 0.924, 0.859
214, 281086.449, 1.099, 0.000, 6677.42, 0.0040, 281086.449, 77, 514147, 18446744073709274206, 260075.354, 20810.765, 198.576, 0.925, 0.860
215, 281218.661, 1.102, 0.000, 6569.06, 0.0039, 281218.661, 78, 512373, 18446744073709275210, 259968.104, 21009.341, 198.576, 0.924, 0.859
216, 281067.763, 1.102, 0.000, 6659.09, 0.0038, 281067.763, 77, 512732, 18446744073709275014, 260175.812, 20691.619, 198.576, 0.926, 0.861
217, 281100.750, 1.100, 0.000, 6490.57, 0.0038, 281100.750, 79, 512741, 18446744073709274982, 259732.218, 21168.202, 198.576, 0.924, 0.859
218, 281082.875, 1.099, 0.000, 6672.95, 0.0040, 281082.875, 77, 513803, 18446744073709274402, 260030.894, 20810.765, 198.576, 0.925, 0.860
219, 281123.534, 1.103, 0.000, 6472.89, 0.0038, 281123.534, 79, 511340, 18446744073709275782, 259794.716, 21128.486, 198.576, 0.924, 0.859
220, 281111.216, 1.101, 0.000, 6570.45, 0.0040, 281111.216, 78, 512481, 18446744073709275142, 259941.259, 20969.626, 198.576, 0.925, 0.859
221, 281148.852, 1.104, 0.000, 6467.30, 0.0041, 281148.852, 79, 510903, 18446744073709276034, 259660.004, 21247.632, 198.576, 0.924, 0.858
222, 281088.173, 1.101, 0.000, 6572.15, 0.0037, 281088.173, 78, 512610, 18446744073709275070, 259997.647, 20890.195, 198.576, 0.925, 0.861
223, 281195.846, 1.100, 0.000, 6403.21, 0.0039, 281195.846, 80, 512243, 18446744073709275262, 259589.022, 21406.493, 198.576, 0.923, 0.858
224, 281207.287, 1.104, 0.000, 6469.18, 0.0040, 281207.287, 79, 511051, 18446744073709275950, 259759.324, 21247.632, 198.576, 0.924, 0.858
225, 281151.223, 1.102, 0.000, 6570.36, 0.0039, 281151.223, 78, 512474, 18446744073709275150, 260020.982, 20929.910, 198.576, 0.925, 0.860
226, 281135.656, 1.103, 0.000, 6649.75, 0.0039, 281135.656, 77, 512017, 18446744073709275418, 260123.390, 20771.050, 198.576, 0.925, 0.860
227, 281145.146, 1.101, 0.000, 6573.78, 0.0039, 281145.146, 78, 512737, 18446744073709275002, 259894.589, 21009.341, 198.576, 0.924, 0.859
228, 281153.628, 1.100, 0.000, 6491.70, 0.0038, 281153.628, 79, 512826, 18446744073709274942, 259824.811, 21128.486, 198.576, 0.924, 0.859
229, 281052.392, 1.104, 0.000, 6461.96, 0.0042, 281052.392, 79, 510481, 18446744073709276262, 259604.429, 21247.632, 198.576, 0.924, 0.857
230, 281098.605, 1.099, 0.000, 6585.27, 0.0039, 281098.605, 78, 513637, 18446744073709274486, 259888.933, 21009.341, 198.576, 0.925, 0.859
231, 281136.859, 1.104, 0.000, 6466.23, 0.0038, 281136.859, 79, 510818, 18446744073709276078, 259808.042, 21128.486, 198.576, 0.924, 0.859
232, 281204.166, 1.100, 0.000, 6492.67, 0.0039, 281204.166, 79, 512907, 18446744073709274898, 259794.748, 21207.917, 198.576, 0.924, 0.859
233, 281247.067, 1.103, 0.000, 6473.18, 0.0039, 281247.067, 79, 511363, 18446744073709275774, 259838.819, 21207.917, 198.576, 0.924, 0.859
234, 281138.224, 1.103, 0.000, 6560.97, 0.0038, 281138.224, 78, 511742, 18446744073709275566, 260007.982, 20929.910, 198.576, 0.925, 0.860
235, 281075.595, 1.102, 0.000, 6655.86, 0.0040, 281075.595, 77, 512487, 18446744073709275150, 260064.500, 20810.765, 198.576, 0.925, 0.860
236, 281086.320, 1.099, 0.000, 6584.01, 0.0039, 281086.320, 78, 513539, 18446744073709274542, 259876.648, 21009.341, 198.576, 0.925, 0.860
237, 281066.593, 1.102, 0.000, 6658.99, 0.0038, 281066.593, 77, 512728, 18446744073709275014, 260174.642, 20691.619, 198.576, 0.926, 0.861
238, 281211.837, 1.104, 0.000, 6381.31, 0.0042, 281211.837, 80, 510491, 18446744073709276254, 259565.298, 21446.208, 198.576, 0.923, 0.856
