id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
323, 281124.191, 0.740, 0.000, 1263.74, 0.0900, 281124.191, 324, 409452, 18446744073709328792, 138030.325, 142895.290, 198.576, 0.491, 0.325, 0
324, 281125.481, 0.721, 0.000, 1327.82, 0.0919, 281125.481, 319, 423574, 18446744073709321056, 139143.641, 141783.264, 198.576, 0.495, 0.322, 0
325, 281051.157, 0.728, 0.000, 1308.73, 0.0894, 281051.157, 320, 418795, 18446744073709323680, 138870.741, 141981.840, 198.576, 0.494, 0.326, 0
326, 281162.508, 0.743, 0.000, 1264.59, 0.0903, 281162.508, 324, 409727, 18446744073709328648, 138743.801, 142220.131, 198.576, 0.493, 0.326, 0
327, 281160.107, 0.746, 0.000, 1228.09, 0.0937, 281160.107, 329, 404043, 18446744073709331744, 137430.798, 143530.733, 198.576, 0.489, 0.320, 0
328, 281068.059, 0.735, 0.000, 1303.45, 0.0900, 281068.059, 319, 415799, 18446744073709325376, 139364.225, 141505.258, 198.576, 0.496, 0.327, 0
329, 281026.100, 0.731, 0.000, 1296.27, 0.0889, 281026.100, 322, 417398, 18446744073709324584, 139083.975, 141743.549, 198.576, 0.495, 0.327, 0
330, 281121.140, 0.748, 0.000, 1222.88, 0.0904, 281121.140, 330, 403550, 18446744073709331968, 137510.977, 143411.587, 198.576, 0.489, 0.324, 0
331, 281141.870, 0.736, 0.000, 1239.47, 0.0906, 281141.870, 331, 410264, 18446744073709328312, 137531.707, 143411.587, 198.576, 0.489, 0.322, 0
332, 281040.273, 0.734, 0.000, 1271.07, 0.0897, 281040.273, 325, 413098, 18446744073709326760, 138144.983, 142696.714, 198.576, 0.492, 0.325, 0
333, 281052.823, 0.746, 0.000, 1261.67, 0.0900, 281052.823, 322, 406258, 18446744073709330520, 138038.387, 142815.859, 198.576, 0.491, 0.327, 0
334, 281221.227, 0.718, 0.000, 1323.27, 0.0896, 281221.227, 320, 423446, 18446744073709321104, 138484.798, 142537.853, 198.576, 0.492, 0.324, 0
335, 281182.848, 0.732, 0.000, 1303.90, 0.0899, 281182.848, 320, 417247, 18446744073709324592, 139161.293, 141822.979, 198.576, 0.495, 0.326, 0
336, 281064.876, 0.739, 0.000, 1283.26, 0.0901, 281064.876, 321, 411927, 18446744073709327472, 138844.745, 142021.555, 198.576, 0.494, 0.327, 0
337, 281119.126, 0.748, 0.000, 1222.83, 0.0902, 281119.126, 329, 402312, 18446744073709332656, 137230.956, 143689.594, 198.576, 0.488, 0.325, 0
338, 281036.950, 0.715, 0.000, 1340.76, 0.0865, 281036.950, 317, 425022, 18446744073709320120, 138379.952, 142458.422, 198.576, 0.492, 0.329, 0
339, 281080.016, 0.729, 0.000, 1323.62, 0.0899, 281080.016, 317, 419589, 18446744073709323392, 139535.043, 141346.397, 198.576, 0.496, 0.327, 0
340, 281212.692, 0.748, 0.000, 1228.52, 0.0900, 281212.692, 329, 404183, 18446744073709331648, 137840.820, 143173.296, 198.576, 0.490, 0.326, 0
341, 281151.225, 0.731, 0.000, 1311.40, 0.0896, 281151.225, 319, 418338, 18446744073709323936, 139447.391, 141505.258, 198.576, 0.496, 0.327, 0
342, 281228.223, 0.743, 0.000, 1288.70, 0.0899, 281228.223, 319, 411095, 18446744073709327912, 139286.098, 141743.549, 198.576, 0.495, 0.329, 0
343, 281119.805, 0.747, 0.000, 1270.57, 0.0904, 281119.805, 320, 406583, 18446744073709330424, 138462.807, 142458.422, 198.576, 0.493, 0.328, 0
344, 281086.583, 0.730, 0.000, 1301.60, 0.0902, 281086.583, 321, 417813, 18446744073709324240, 138985.597, 141902.410, 198.576, 0.494, 0.325, 0
345, 281145.212, 0.729, 0.000, 1312.62, 0.0929, 281145.212, 319, 418725, 18446744073709323800, 139203.087, 141743.549, 198.576, 0.495, 0.322, 0
346, 281061.626, 0.737, 0.000, 1303.56, 0.0909, 281061.626, 317, 413227, 18446744073709326704, 138881.210, 141981.840, 198.576, 0.494, 0.326, 0
347, 281122.601, 0.746, 0.000, 1257.51, 0.0905, 281122.601, 323, 406177, 18446744073709330568, 138068.450, 142855.574, 198.576, 0.491, 0.326, 0
348, 281080.994, 0.734, 0.000, 1313.09, 0.0904, 281080.994, 317, 416251, 18446744073709325104, 139258.014, 141624.403, 198.576, 0.495, 0.327, 0
349, 281110.632, 0.731, 0.000, 1310.47, 0.0894, 281110.632, 319, 418039, 18446744073709324232, 139287.653, 141624.403, 198.576, 0.495, 0.327, 0
350, 281139.045, 0.746, 0.000, 1251.15, 0.0902, 281139.045, 325, 406625, 18446744073709330312, 138243.756, 142696.714, 198.576, 0.492, 0.326, 0
351, 281218.989, 0.732, 0.000, 1299.10, 0.0925, 281218.989, 321, 417011, 18446744073709324680, 139078.288, 141942.125, 198.576, 0.495, 0.322, 0
352, 281219.409, 0.727, 0.000, 1347.96, 0.0906, 281219.409, 312, 420562, 18446744073709322624, 139237.569, 141783.264, 198.576, 0.495, 0.326, 0
353, 281196.410, 0.752, 0.000, 1240.20, 0.0901, 281196.410, 325, 403064, 18446744073709332304, 138102.545, 142895.290, 198.576, 0.491, 0.327, 0
354, 281174.592, 0.728, 0.000, 1311.15, 0.0825, 281174.592, 320, 419569, 18446744073709323328, 139311.897, 141664.118, 198.576, 0.495, 0.337, 0
355, 120987.489, 0.727, 0.000, 1378.17, 0.0845, 120987.489, 132, 181918, 18446744073709453253, 60497.177, 60009.667, 198.576, 0.500, 0.336, 0
