id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
0, 281238.595, 0.397, 0.000, 2966.25, 0.0470, 281238.595, 279, 827584, 18446744073709084576, 143029.699, 138208.896, 0.000, 0.509, 0.350, 0
1, 281142.748, 0.442, 0.000, 2456.30, 0.0669, 281142.748, 299, 734435, 18446744073709136528, 141106.953, 139837.219, 198.576, 0.502, 0.308, 0
2, 281193.823, 0.498, 0.000, 2158.69, 0.0586, 281193.823, 305, 658401, 18446744073709178792, 142349.484, 138645.763, 198.576, 0.506, 0.343, 0
3, 119984.705, 0.371, 0.000, 2261.71, 0.0553, 119984.705, 73, 165105, 66822, 34098.384, 33678.490, 198.576, 0.284, 0.289, 0
